id,nameEn,nameAr,descriptionEn,descriptionAr,latitude,longitude
kaaba,Al Kaaba,الكعبة,"The authenticated supplication upon seeing the Kaaba: O Allah, increase this House in honor, greatness, respect and awe, and increase those who honor and glorify it—those who perform Hajj or Umrah—in honor, respect, righteousness and awe.",الدعاء المأثور عند رؤية الكعبة: اللهم زد هذا البيت تشريفا وتعظيما وتكريما ومهابة وزد من حجه أو اعتمره تشريفا وتكريما وبرا.,21.422529,39.826154
maqaam,Maqaam Ibrahim,مقام إبراهيم عليه السلام,"The supplication narrated when praying behind Maqam Ibrahim: O Allah, I ask You for Paradise and whatever words or deeds bring one closer to it, and I seek refuge in You from the Fire and whatever words or deeds bring one closer to it.","الدعاء المأثور عند الصلاة خلف مقام إبراهيم: اللهم إني أسألك الجنة وما قرب إليها من قول أو عمل، وأعوذ بك من النار وما قرب إليها من قول أو عمل.",21.422529,39.826154
zamzam1,Zamzam Well,بئر ماء زمزم,"The authenticated supplication when drinking Zamzam water: O Allah, I ask You for beneficial knowledge, abundant provision, and cure from every illness.",الدعاء المأثور عند شرب ماء زمزم: اللهم إني أسألك علما نافعا ورزقا واسعا وشفاء من كل داء.,21.422527,39.826348
saee,Safaa and Marwah (Saee),الصفا والمروة (السعي),"The authenticated supplication at As-Safa and Al-Marwah (at the start and in every lap): Indeed, As-Safa and Al-Marwah are among the symbols of Allah. O Allah, forgive and have mercy, and You are the Most Mighty, the Most Generous. My Lord, forgive and have mercy and overlook what You know, for You are the Most Mighty, the Most Generous.","الدعاء المأثور عند استلام الصفا والمروة وفي كل شوط: إن الصفا والمروة من شعائر الله، اللهم اغفر وارحم وأنت الأعز الأكرم، رب اغفر وارحم وتجاوز عما تعلم إنك أنت الأعز الأكرم.",21.422021,39.827358
salam,Al Salam Gate,باب السلام,"The authenticated supplication when entering the Sacred Mosque through Bab as-Salam: O Allah, open for me the gates of Your mercy. I seek refuge in Allah the Mighty, in His Noble Countenance, and His Eternal Authority from the accursed Satan. In the name of Allah, all praise is due to Allah, and peace and blessings be upon the Messenger of Allah. O Allah, forgive my sins and open for me the gates of Your bounty.","الدعاء المأثور عند دخول المسجد الحرام من باب السلام: اللهم افتح لي أبواب رحمتك، أعوذ بالله العظيم وبوجهه الكريم وسلطانه القديم من الشيطان الرجيم، بسم الله والحمد لله والصلاة والسلام على رسول الله، اللهم اغفر لي ذنوبي وافتح لي أبواب فضلك.",21.422577,39.827376
fatah,Fatah Gate,باب الفتح,"The Prophetic practice when passing through Bab al-Fath: O Allah, make it a conquest followed by another conquest.",كان النبي صلى الله عليه وسلم إذا خرج من باب الفتح في عمرة القضاء قال: اللهم اجعله فتحا يتبعه فتح.,21.424130,39.826266
umra,Umra Gate,باب العمرة,"The supplication narrated when entering through Bab al-Umrah: O Allah, I ask You to make this an accepted Umrah, a thanked Hajj, an accepted endeavor, and a forgiven sin.",الدعاء المأثور عند دخول المسجد الحرام من باب العمرة: اللهم إني أسألك أن تجعل هذه عمرة مبرورة وحجا مشكورا وسعيا متقبلا وذنبا مغفورا.,21.422478,39.824765
abdulaziz,King Abdulaziz Gate,باب الملك عبدالعزيز,"The recommended supplication when entering throughany gate of the Sacred Mosque: In the name of Allah, and peace and blessings be upon the Messenger of Allah. O Allah, open for me the gates of Your mercy, and forgive me, my parents, and all Muslims.","الدعاء المستحب عند الدخول من أي أبواب المسجد الحرام: بسم الله والصلاة والسلام على رسول الله، اللهم افتح لي أبواب رحمتك واغفر لي ولوالدي وللمسلمين.",21.421470,39.825357
fahd79,King Fahd Gate 79,باب الملك فهد ٧٩,"The recommended supplication when entering throughany gate of the Sacred Mosque: In the name of Allah, and peace and blessings be upon the Messenger of Allah. O Allah, open for me the gates of Your mercy, and forgive me, my parents, and all Muslims.","الدعاء المستحب عند الدخول من أي أبواب المسجد الحرام: بسم الله والصلاة والسلام على رسول الله، اللهم افتح لي أبواب رحمتك واغفر لي ولوالدي وللمسلمين.",21.421273,39.824353
freewheel1,Free Wheel Chair,كراسي متحركة مجانية,Modern administrative office in the Sacred Mosque providing mobility carts for the elderly and disabled to perform tawaf and saee easily.,مكان إداري حديث داخل المسجد الحرام يُعنى بتوفير عربات التنقل (كهربائية ويدوية) لكبار السن وذوي الإعاقة ليتمكنوا من أداء الطواف والسعي بيسر.,21.423687,39.829112
transport1,Transportation office,إدارة خدمات التنقل في الحرم,Modern administrative office in the Sacred Mosque providing mobility carts for the elderly and disabled to perform tawaf and saee easily.,مكان إداري حديث داخل المسجد الحرام يُعنى بتوفير عربات التنقل (كهربائية ويدوية) لكبار السن وذوي الإعاقة ليتمكنوا من أداء الطواف والسعي بيسر.,21.423687,39.829112
police1,Police Station,مركز شرطة الحرام المكي الشريف,"The Sacred Mosque Police Center is the security authority responsible for maintaining safety, order, assisting pilgrims, and enforcing regulations inside the Grand Mosque and its courtyards.","مركز شرطة الحرم المكي الشريف هو الجهة الأمنية المسؤولة عن حفظ الأمن والنظام داخل المسجد الحرام وساحاته، ومساعدة الحجاج والمعتمرين وضبط المخالفات.",21.422754,39.830475
wcf1,Women Ablution and Toilets,دورة مياه للنساء,"The authenticated supplication when entering the toilet: In the name of Allah. O Allah, I seek refuge in You from the male and female devils/impure beings.","الدعاء المأثور عند دخول الخلاء: بسم الله، اللهم إني أعوذ بك من الخبث والخبائث.",21.424802,39.826888
wcm1,Men Ablution and Toilets,دورات مياه اجياد للرجال رقم ٢,"The authenticated supplication when entering the toilet: In the name of Allah. O Allah, I seek refuge in You from the male and female devils/impure beings.","الدعاء المأثور عند دخول الخلاء: بسم الله، اللهم إني أعوذ بك من الخبث والخبائث.",21.419912,39.827088
lost1,Lost and Found Guidance Office (Ajyad),مكتب ارشاد التائه ( اجياد ),"The Lost and Found Guidance Office (Ajyad) is an official center in the Grand Mosque area that quickly and safely reunites lost children, elderly, and pilgrims with their families.",مكتب إرشاد التائه بأجياد هو مركز تابع لإدارة الحرم يساعد في لم شمل التائهين من الأطفال وكبار السن والحجاج مع ذويهم سريعاً وبأمان.,21.419941,39.826286
atm1,Al Jazira Bank ATM,صراف بنك الجزيرة,"An Aljazira Bank ATM inside or around the Grand Mosque providing cash withdrawal, deposit, and transfer services for pilgrims and visitors.",جهاز صراف آلي تابع لبنك الجزيرة داخل المسجد الحرام أو ساحاته يوفر خدمات السحب والإيداع والتحويل للحجاج والمعتمرين.,21.420123,39.826829
atm2,Al Jazira Bank ATM,صراف بنك الجزيرة,"An Aljazira Bank ATM inside or around the Grand Mosque providing cash withdrawal, deposit, and transfer services for pilgrims and visitors.",جهاز صراف آلي تابع لبنك الجزيرة داخل المسجد الحرام أو ساحاته يوفر خدمات السحب والإيداع والتحويل للحجاج والمعتمرين.,21.420123,39.826829
wcf2,Women Ablution and Toilets,دورة مياه للنساء,"The authenticated supplication when entering the toilet: In the name of Allah. O Allah, I seek refuge in You from the male and female devils/impure beings.","الدعاء المأثور عند دخول الخلاء: بسم الله، اللهم إني أعوذ بك من الخبث والخبائث.",21.419611,39.827238
wcfm1,Ablution and Toilets,أماكن الوضوء ودورات المياه,"The authenticated supplication when entering the toilet: In the name of Allah. O Allah, I seek refuge in You from the male and female devils/impure beings.","الدعاء المأثور عند دخول الخلاء: بسم الله، اللهم إني أعوذ بك من الخبث والخبائث.",21.424641,39.826870
wcfm2,Ablution and Toilets,أماكن الوضوء ودورات المياه,"The authenticated supplication when entering the toilet: In the name of Allah. O Allah, I seek refuge in You from the male and female devils/impure beings.","الدعاء المأثور عند دخول الخلاء: بسم الله، اللهم إني أعوذ بك من الخبث والخبائث.",21.422969,39.830635
hospital1,Haram Emergency Hospital,مستشفى الحرم للطوارئ,A specialized emergency hospital affiliated with the Grand Mosque providing first aid and rapid treatment to pilgrims within the Sacred Mosque precincts.,مستشفى متخصص للطوارئ تابع للحرم المكي يقدم الإسعافات الأولية والعلاج السريع للحجاج والمعتمرين داخل حدود المسجد الحرام.,21.426570,39.824055
